Compound,Primary Cell Line Name,ID,IC50 (uM)
17-AAG,UM-UC-3,206,0.29512092266663853
17-AAG,BFTC-909,10859,0.10471285480508996
17-AAG,RT-112,2187,0.06309573444801933
17-AAG,SK-N-DZ,1186,0.6309573444801932
17-AAG,SNU-182,6187,1.202264434617413
17-AAG,GB-1,8348,0.7762471166286917
17-AAG,KNS-62,2949,0.5754399373371569
17-AAG,RPMI-8402,1627,0.7079457843841379
17-AAG,NCI-H1694,5491,3.3884415613920256
17-AAG,NCI-H1048,2443,0.04897788193684462
17-AAG,IA-LM,3600,7.943282347242816
17-AAG,SU-DHL-6,5607,0.3311311214825911
17-AAG,MOG-G-CCM,4512,0.2691534803926916
17-AAG,HDQ-P1,6666,0.12302687708123815
17-AAG,HCT-15,7561,0.5888436553555889
17-AAG,BxPC-3,798,0.18620871366628675
17-AAG,P12-ICHIKAWA,1832,0.5888436553555889
17-AAG,JM1,8466,1.1220184543019633
17-AAG,HGC-27,10182,0.19952623149688797
17-AAG,NCI-H1693,6550,7.943282347242816
17-AAG,Raji,1209,2.6915348039269156
17-AAG,NCI-N87,2745,0.00630957344480193
17-AAG,SJRH30,10599,0.7413102413009175
17-AAG,NCI-H23,8443,0.046773514128719815
17-AAG,MG-63,10694,0.8128305161640993
17-AAG,COR-L23,3483,0.6025595860743578
17-AAG,TE-15,10229,0.10232929922807542
17-AAG,MCF7,1072,0.018620871366628676
17-AAG,KMS-12-BM,9123,0.12589254117941673
17-AAG,LP-1,7310,0.6165950018614822
17-AAG,FU97,9564,0.06309573444801933
17-AAG,AsPC-1,2812,0.07244359600749903
17-AAG,NCI-H2122,10271,0.026302679918953815
17-AAG,CHP-212,7264,0.029512092266663854
17-AAG,AU565,6919,0.023442288153199226
17-AAG,NCI-H211,9742,0.12589254117941673
17-AAG,ESS-1,2399,0.11748975549395294
17-AAG,JVM-3,1028,0.07585775750291836
17-AAG,EFO-27,7153,0.36307805477010135
17-AAG,KP-2,2330,0.038018939632056124
17-AAG,OE33,6642,0.0588843655355589
17-AAG,SK-LMS-1,2907,0.2691534803926916
17-AAG,NCI-H1650,6164,0.030902954325135904
17-AAG,NCI-H520,6942,0.1
17-AAG,IST-MES1,4299,0.7079457843841379
17-AAG,MOLT-16,3226,0.44668359215096315
17-AAG,SNU-423,1880,0.8511380382023764
17-AAG,SK-MM-2,6598,0.11748975549395294
17-AAG,NCI-H727,6068,0.3467368504525316
17-AAG,SK-CO-1,3837,0.05623413251903491
17-AAG,KLE,4184,0.933254300796991
17-AAG,VMRC-LCD,5281,0.20892961308540392
17-AAG,TE-11,4793,0.17378008287493754
17-AAG,NCI-H2172,8305,0.00588843655355589
17-AAG,DOHH-2,5996,0.40738027780411273
17-AAG,COLO-678,1511,0.04073802778041128
17-AAG,NCI-H1869,3110,0.1
17-AAG,EM-2,11226,0.1318256738556407
17-AAG,NCI-H2170,9236,0.01513561248436208
17-AAG,JHOS-2,5304,0.14454397707459277
17-AAG,HT-1197,1139,1.9498445997580451
17-AAG,769-P,775,0.15135612484362082
17-AAG,NCI-H810,5631,7.943282347242816
17-AAG,SU-DHL-10,5723,0.22387211385683395
17-AAG,TYK-nu,10529,0.08511380382023763
17-AAG,VMRC-RCZ,182,0.8511380382023764
17-AAG,WM-115,11162,0.047863009232263824
17-AAG,GCT,7721,0.3311311214825911
17-AAG,ALL-SIL,10811,0.7079457843841379
17-AAG,Calu-6,7701,0.18197008586099836
17-AAG,TOV-112D,5445,0.3801893963205612
17-AAG,PA-TU-8902,1717,0.660693448007596
17-AAG,C2BBe1,6302,0.7762471166286917
17-AAG,NCI-H358,9655,0.07585775750291836
17-AAG,NUGC-3,10067,0.06165950018614822
17-AAG,8305C,8535,0.37153522909717257
17-AAG,HCC1187,8512,1.5488166189124815
17-AAG,EFO-21,10414,0.28840315031266056
17-AAG,KYSE-450,8165,0.7079457843841379
17-AAG,SIMA,11048,1.7782794100389228
17-AAG,SK-MEL-31,1464,7.943282347242816
17-AAG,MES-SA,5021,0.038018939632056124
17-AAG,NCI-H1703,9169,0.03890451449942807
17-AAG,UACC-812,6436,0.19952623149688797
17-AAG,HPAC,3298,0.09120108393559097
17-AAG,BT-474,5115,0.0446683592150963
17-AAG,NCI-H1666,8372,0.016982436524617443
17-AAG,OCI-AML5,6574,0.3019951720402016
17-AAG,HH,7538,0.31622776601683794
17-AAG,DK-MG,8818,0.32359365692962827
17-AAG,GAMG,5678,0.1096478196143185
17-AAG,SK-MEL-5,4095,0.20892961308540392
17-AAG,KG-1,3976,0.046773514128719815
17-AAG,PSN1,315,0.15135612484362082
17-AAG,BL-41,6140,0.7585775750291838
17-AAG,OCUM-1,3789,0.046773514128719815
17-AAG,BT-549,910,0.020417379446695295
17-AAG,HSC-2,6526,0.5011872336272722
17-AAG,RERF-LC-MS,7863,0.16218100973589297
17-AAG,C3A,7999,0.02754228703338166
17-AAG,HCC-44,294,0.06606934480075961
17-AAG,KYSE-140,842,0.954992586021436
17-AAG,BT-20,10835,7.943282347242816
17-AAG,NCI-H1581,958,0.6025595860743578
17-AAG,L-428,10319,1.2589254117941673
17-AAG,NCI-H1648,3063,7.943282347242816
17-AAG,NCI-H2052,4048,0.23988329190194904
17-AAG,MC116,11001,0.7413102413009175
17-AAG,8-MG-BA,141,0.2344228815319922
17-AAG,PC-3,451,0.3890451449942806
17-AAG,G-361,4925,0.08912509381337455
17-AAG,CAL-78,7446,0.1
17-AAG,G-401,9378,0.08511380382023763
17-AAG,EB2,8396,1.7378008287493754
17-AAG,HCC1569,589,0.19952623149688797
17-AAG,OPM-2,4071,0.660693448007596
17-AAG,NCI-H1341,660,0.013803842646028845
17-AAG,NCI-H2087,3718,0.06456542290346556
17-AAG,SNU-449,9284,1.9498445997580451
17-AAG,TE-5,6621,0.3467368504525316
17-AAG,KMRC-1,10718,0.30902954325135906
17-AAG,NCI-H1568,7401,7.943282347242816
17-AAG,Daoy,4232,0.4786300923226383
17-AAG,JHH-4,7952,7.943282347242816
17-AAG,NCI-H441,1004,0.16982436524617442
17-AAG,HPAF-II,6481,0.15135612484362082
17-AAG,HT-29,9005,0.016595869074375606
17-AAG,ES-2,1737,0.6918309709189365
17-AAG,ZR-75-30,8559,0.08709635899560805
17-AAG,CHL-1,4702,0.16595869074375605
17-AAG,KURAMOCHI,8094,0.3311311214825911
17-AAG,SHP-77,2419,0.30902954325135906
17-AAG,KARPAS-620,10977,0.5623413251903491
17-AAG,SBC-5,9631,0.14125375446227545
17-AAG,L-363,4464,0.023442288153199226
17-AAG,SIG-M5,5583,0.16982436524617442
17-AAG,FU-OV-1,9446,0.37153522909717257
17-AAG,NCI-H2030,10553,0.04897788193684462
17-AAG,HCC-15,8606,0.03890451449942807
17-AAG,NCI-H2085,2651,0.7585775750291838
17-AAG,IPC-298,4949,0.0812830516164099
17-AAG,KNS-42,7470,7.943282347242816
17-AAG,MEL-HO,3459,7.943282347242816
17-AAG,SNG-M,862,0.28183829312644537
17-AAG,LN-18,7131,0.06025595860743578
17-AAG,EFM-19,475,0.057543993733715694
17-AAG,SK-MEL-2,2352,7.943282347242816
17-AAG,NCI-H226,2674,7.943282347242816
17-AAG,LOU-NH91,2788,7.943282347242816
17-AAG,KYSE-150,7656,0.0812830516164099
17-AAG,42-MG-BA,1674,0.05248074602497726
17-AAG,MFE-296,3180,0.3311311214825911
17-AAG,NCI-H1573,8911,0.1288249551693134
17-AAG,KARPAS-422,7883,0.20417379446695297
17-AAG,NCI-H1299,10021,0.2691534803926916
17-AAG,KYSE-510,6874,0.17378008287493754
17-AAG,NCI-H2444,5924,0.2691534803926916
17-AAG,PC-14,4118,0.1
17-AAG,RL95-2,4973,0.03715352290971726
17-AAG,SK-OV-3,72,0.11748975549395294
17-AAG,GMS-10,10670,0.24547089156850305
17-AAG,JHH-2,2627,7.943282347242816
17-AAG,SNU-387,11094,0.33884415613920255
17-AAG,G-402,6280,0.07413102413009177
17-AAG,TE-1,2767,0.07413102413009177
17-AAG,AMO-1,4678,0.025703957827688632
17-AAG,NCI-H1155,1443,0.11748975549395294
17-AAG,HT-1376,3134,0.36307805477010135
17-AAG,HCC70,3881,0.06456542290346556
17-AAG,TT2609-C02,10646,0.07413102413009177
17-AAG,SW620,3813,0.03890451449942807
17-AAG,HT-1080,8865,0.1148153621496883
17-AAG,RPMI-7951,11183,0.015848931924611134
17-AAG,NCI-H747,4395,0.08317637711026708
17-AAG,NCI-H1355,3553,0.10471285480508996
17-AAG,MKN7,8419,1.0
17-AAG,SNU-475,5902,0.0025703957827688645
17-AAG,CAMA-1,4901,0.14125375446227545
17-AAG,NCI-H1651,4607,0.24547089156850305
17-AAG,SNU-398,3859,0.5495408738576245
17-AAG,NCI-H2452,8046,0.14791083881682077
17-AAG,T98G,9260,0.1548816618912481
17-AAG,GI-1,6324,0.19952623149688797
17-AAG,SW48,10953,0.014791083881682071
17-AAG,NCI-H1793,4749,0.23988329190194904
17-AAG,NCI-H2023,10343,0.023442288153199226
17-AAG,NCI-H1975,4208,0.05623413251903491
17-AAG,NCI-H2228,1951,0.11220184543019636
17-AAG,HD-MY-Z,7245,0.15135612484362082
17-AAG,NCI-H1092,5327,7.943282347242816
17-AAG,CAL-85-1,3019,0.17378008287493754
17-AAG,NCI-H1944,542,0.026302679918953815
17-AAG,C32,8070,0.006606934480075957
17-AAG,RVH-421,5067,0.07413102413009177
17-AAG,MDA-MB-436,2604,7.943282347242816
17-AAG,KYM-1,1582,0.08912509381337455
17-AAG,RERF-GC-1B,1695,1.9498445997580451
17-AAG,MEG-01,8674,1.0471285480508996
17-AAG,COR-L105,3321,0.8912509381337456
17-AAG,HCC1954,6783,0.047863009232263824
17-AAG,HLE,6989,0.6309573444801932
17-AAG,NCI-H28,96,0.14791083881682077
17-AAG,KYSE-70,5813,0.06025595860743578
17-AAG,HCC1806,3158,0.06760829753919818
17-AAG,A172,1302,0.2691534803926916
17-AAG,UACC-257,7516,0.1778279410038923
17-AAG,TOV-21G,7037,0.019498445997580455
17-AAG,NUGC-4,4256,0.0199526231496888
17-AAG,KP-3,9766,0.16595869074375605
17-AAG,SK-MEL-30,6092,7.943282347242816
17-AAG,TE-9,2860,0.08709635899560805
17-AAG,SK-N-FI,10136,1.0
17-AAG,EN,7633,7.943282347242816
17-AAG,SU-DHL-8,934,0.11748975549395294
17-AAG,KYSE-520,2139,0.07943282347242814
17-AAG,Calu-3,9355,1.6982436524617444
17-AAG,HARA,10000,0.2137962089502232
17-AAG,DEL,9470,0.03548133892335755
17-AAG,8505C,6895,0.28183829312644537
17-AAG,KARPAS-299,9978,0.20892961308540392
17-AAG,HCC1395,2466,7.943282347242816
17-AAG,COLO-679,9930,0.06309573444801933
17-AAG,SUIT-2,357,0.6456542290346555
17-AAG,SJSA-1,6344,0.30902954325135906
17-AAG,J82,3530,0.28840315031266056
17-AAG,JHOS-4,1279,1.5848931924611136
17-AAG,NCI-H661,4000,7.943282347242816
17-AAG,SK-N-AS,9789,0.3890451449942806
17-AAG,MDA-MB-157,7840,7.943282347242816
17-AAG,SU-DHL-4,1808,0.23988329190194904
17-AAG,SK-MEL-24,2,0.17378008287493754
17-AAG,A2058,518,0.04265795188015926
17-AAG,EBC-1,2510,0.018620871366628676
17-AAG,KYSE-180,251,0.07585775750291836
17-AAG,OVTOKO,230,0.8128305161640993
17-AAG,SUP-M2,2721,0.09772372209558107
17-AAG,SK-LU-1,5766,0.03548133892335755
17-AAG,CAL-12T,498,0.18197008586099836
17-AAG,A2780,5091,0.030902954325135904
17-AAG,MSTO-211H,7061,0.19054607179632474
17-AAG,NCI-H522,9906,0.07943282347242814
17-AAG,IGR-37,8794,7.943282347242816
17-AAG,NCI-H647,1398,0.14791083881682077
17-AAG,ACHN,10765,0.6760829753919817
17-AAG,NCI-H1563,9213,0.2137962089502232
17-AAG,HuCCT1,3928,0.09120108393559097
17-AAG,LCLC-103H,5972,3.630780547701014
17-AAG,MOLP-8,4535,0.32359365692962827
17-AAG,OCI-AML2,4654,0.08912509381337455
17-AAG,MDA-MB-415,8982,0.018197008586099836
17-AAG,T84,10622,0.5370317963702527
17-AAG,GCIY,6852,0.7943282347242815
17-AAG,RD,7423,0.11748975549395294
17-AAG,CCK-81,6390,0.2630267991895382
17-AAG,MFE-280,565,0.20892961308540392
17-AAG,OVCAR-8,2023,0.14454397707459277
17-AAG,OVCAR-4,11315,0.457088189614875
17-AAG,ONS-76,9190,1.5488166189124815
17-AAG,UACC-62,2070,0.06309573444801933
17-AAG,SK-N-SH,3905,0.2344228815319922
17-AAG,MDA-MB-453,9954,0.01548816618912481
17-AAG,KU812,5351,0.1288249551693134
17-AAG,GRANTA-519,5210,0.01096478196143185
17-AAG,OV-90,9607,0.018620871366628676
17-AAG,H4,9100,0.15135612484362082
17-AAG,KCL-22,8281,0.10715193052376065
17-AAG,CAS-1,9882,1.023292992280754
17-AAG,SUP-T1,752,0.457088189614875
17-AAG,TCCSUP,11139,0.046773514128719815
17-AAG,Saos-2,3086,0.2137962089502232
17-AAG,SF126,10366,1.2302687708123816
17-AAG,Capan-2,8142,0.04570881896148749
17-AAG,SK-MES-1,5746,0.026915348039269153
17-AAG,KALS-1,1535,0.08912509381337455
17-AAG,HCC-78,4854,0.7943282347242815
17-AAG,NCI-H1792,6503,0.10232929922807542
17-AAG,639-V,5234,0.15135612484362082
17-AAG,NCI-H2009,2556,0.18620871366628675
17-AAG,RT4,819,0.0588843655355589
17-AAG,RKO,4024,0.07585775750291836
17-AAG,huH-1,10091,0.033884415613920256
17-AAG,NCI-H650,26,0.30902954325135906
17-AAG,TC-71,8118,1.3803842646028848
17-AAG,KELLY,11249,2.2387211385683394
17-AAG,LN-229,10438,0.06165950018614822
17-AAG,A549,728,0.06606934480075961
17-AAG,DBTRG-05MG,3202,0.2754228703338166
17-AAG,MDA-MB-468,6020,0.36307805477010135
17-AAG,KYSE-410,1326,0.2691534803926916
17-AAG,HT-144,3952,0.07943282347242814
17-AAG,SK-HEP-1,9541,0.2290867652767773
17-AAG,MFE-319,3042,0.07943282347242814
17-AAG,SW1417,6459,0.06918309709189366
17-AAG,SK-ES-1,8257,0.5623413251903491
17-AAG,JHH-7,4810,0.08912509381337455
17-AAG,HOS,8958,0.1380384264602885
17-AAG,JHH-6,10505,0.22387211385683395
17-AAG,NCI-H1915,4323,0.03548133892335755
17-AAG,QGP-1,7380,0.14125375446227545
