ID,Primary Cell Line Name,Compound,IC50 (uM)
0,SK-MEL-24,AEW541,-0.64
1,SK-MEL-24,Nilotinib,-0.84
2,SK-MEL-24,17-AAG,0.76
3,SK-MEL-24,PHA-665752,-0.9
4,SK-MEL-24,Lapatinib,-0.9
5,SK-MEL-24,Nutlin-3,-0.9
6,SK-MEL-24,AZD0530,-0.9
7,SK-MEL-24,PF2341066,-0.9
8,SK-MEL-24,L-685458,-0.9
9,SK-MEL-24,ZD-6474,-0.61
10,SK-MEL-24,Panobinostat,1
11,SK-MEL-24,Sorafenib,-0.9
12,SK-MEL-24,Irinotecan,0.75
13,SK-MEL-24,Topotecan,0.41
14,SK-MEL-24,LBW242,-0.9
15,SK-MEL-24,PD-0325901,1.1
16,SK-MEL-24,PD-0332991,-0.9
17,SK-MEL-24,Paclitaxel,0.99
18,SK-MEL-24,AZD6244,-0.36
19,SK-MEL-24,PLX4720,-0.71
20,SK-MEL-24,RAF265,-0.8
21,SK-MEL-24,TAE684,-0.62
22,SK-MEL-24,TKI258,-0.9
23,SK-MEL-24,Erlotinib,-0.9
24,NCI-H650,AEW541,-0.9
25,NCI-H650,Nilotinib,-0.9
26,NCI-H650,17-AAG,0.51
27,NCI-H650,PHA-665752,-0.9
28,NCI-H650,Lapatinib,-0.9
29,NCI-H650,Nutlin-3,-0.9
30,NCI-H650,AZD0530,-0.9
31,NCI-H650,PF2341066,-0.9
32,NCI-H650,L-685458,-0.9
33,NCI-H650,ZD-6474,-0.9
34,NCI-H650,Panobinostat,0.84
35,NCI-H650,Sorafenib,-0.9
36,NCI-H650,Topotecan,-0.08
37,NCI-H650,LBW242,-0.9
38,NCI-H650,PD-0325901,-0.9
39,NCI-H650,PD-0332991,-0.9
40,NCI-H650,Paclitaxel,2.59
41,NCI-H650,AZD6244,-0.9
42,NCI-H650,PLX4720,-0.9
43,NCI-H650,RAF265,-0.37
44,NCI-H650,TAE684,-0.9
45,NCI-H650,TKI258,-0.9
46,NCI-H650,Erlotinib,-0.9
47,MJ,AEW541,-0.9
48,MJ,Nilotinib,-0.9
49,MJ,17-AAG,1.01
50,MJ,PHA-665752,-0.9
51,MJ,Lapatinib,-0.9
52,MJ,Nutlin-3,-0.9
53,MJ,AZD0530,-0.9
54,MJ,PF2341066,-0.55
55,MJ,L-685458,-0.9
56,MJ,ZD-6474,-0.42
57,MJ,Panobinostat,1.88
58,MJ,Sorafenib,-0.9
59,MJ,Topotecan,0.63
60,MJ,LBW242,-0.9
61,MJ,PD-0325901,-0.9
62,MJ,PD-0332991,-0.66
63,MJ,Paclitaxel,2.6
64,MJ,AZD6244,-0.9
65,MJ,PLX4720,-0.9
66,MJ,RAF265,-0.02
67,MJ,TAE684,-0.76
68,MJ,TKI258,-0.9
69,MJ,Erlotinib,-0.9
70,SK-OV-3,AEW541,-0.75
71,SK-OV-3,Nilotinib,-0.9
72,SK-OV-3,17-AAG,0.93
73,SK-OV-3,PHA-665752,-0.9
74,SK-OV-3,Lapatinib,0.01
75,SK-OV-3,Nutlin-3,-0.9
76,SK-OV-3,AZD0530,-0.41
77,SK-OV-3,PF2341066,-0.9
78,SK-OV-3,L-685458,-0.9
79,SK-OV-3,ZD-6474,-0.9
80,SK-OV-3,Panobinostat,0.85
81,SK-OV-3,Sorafenib,-0.9
82,SK-OV-3,Irinotecan,0.52
83,SK-OV-3,Topotecan,0.21
84,SK-OV-3,LBW242,0.34
85,SK-OV-3,PD-0325901,-0.9
86,SK-OV-3,PD-0332991,-0.9
87,SK-OV-3,Paclitaxel,1.86
88,SK-OV-3,AZD6244,-0.9
89,SK-OV-3,PLX4720,-0.9
90,SK-OV-3,RAF265,0.62
91,SK-OV-3,TAE684,-0.9
92,SK-OV-3,TKI258,-0.24
93,SK-OV-3,Erlotinib,-0.9
94,NCI-H28,AEW541,-0.81
95,NCI-H28,Nilotinib,-0.9
96,NCI-H28,17-AAG,0.83
97,NCI-H28,PHA-665752,-0.9
98,NCI-H28,Lapatinib,-0.46
99,NCI-H28,Nutlin-3,-0.9
100,NCI-H28,AZD0530,-0.12
101,NCI-H28,PF2341066,-0.9
102,NCI-H28,L-685458,-0.9
103,NCI-H28,ZD-6474,-0.25
104,NCI-H28,Panobinostat,1.06
105,NCI-H28,Sorafenib,-0.9
106,NCI-H28,Topotecan,0.03
107,NCI-H28,LBW242,-0.9
108,NCI-H28,PD-0325901,-0.61
109,NCI-H28,PD-0332991,-0.78
110,NCI-H28,Paclitaxel,1.4
111,NCI-H28,AZD6244,-0.9
112,NCI-H28,PLX4720,-0.9
113,NCI-H28,RAF265,-0.6
