ID,Primary Cell Line Name,Compound,IC50 (uM)
0,UM-UC-3,AEW541,-0.9
1,UM-UC-3,Nilotinib,-0.9
2,UM-UC-3,17-AAG,0.53
3,UM-UC-3,PHA-665752,-0.9
4,UM-UC-3,Lapatinib,-0.9
5,UM-UC-3,Nutlin-3,-0.9
6,UM-UC-3,AZD0530,-0.64
7,UM-UC-3,PF2341066,-0.9
8,UM-UC-3,L-685458,-0.9
9,UM-UC-3,ZD-6474,-0.75
10,UM-UC-3,Panobinostat,0.88
11,UM-UC-3,Sorafenib,-0.9
12,UM-UC-3,Irinotecan,0.2
13,UM-UC-3,Topotecan,0.16
14,UM-UC-3,LBW242,-0.9
15,UM-UC-3,PD-0325901,-0.9
16,UM-UC-3,PD-0332991,-0.9
17,UM-UC-3,Paclitaxel,2.08
18,UM-UC-3,AZD6244,-0.9
19,UM-UC-3,PLX4720,-0.9
20,UM-UC-3,RAF265,-0.9
21,UM-UC-3,TAE684,-0.9
22,UM-UC-3,TKI258,-0.9
23,UM-UC-3,Erlotinib,-0.9
24,BFTC-909,AEW541,-0.9
25,BFTC-909,Nilotinib,-0.9
26,BFTC-909,17-AAG,0.98
27,BFTC-909,PHA-665752,-0.9
28,BFTC-909,Lapatinib,-0.9
29,BFTC-909,Nutlin-3,-0.9
30,BFTC-909,AZD0530,-0.9
31,BFTC-909,PF2341066,-0.9
32,BFTC-909,L-685458,-0.9
33,BFTC-909,ZD-6474,-0.9
34,BFTC-909,Panobinostat,1.07
35,BFTC-909,Topotecan,0.55
36,BFTC-909,LBW242,-0.9
37,BFTC-909,PD-0325901,-0.9
38,BFTC-909,PD-0332991,-0.9
39,BFTC-909,Paclitaxel,1.91
40,BFTC-909,AZD6244,-0.9
41,BFTC-909,PLX4720,-0.9
42,BFTC-909,RAF265,-0.9
43,BFTC-909,TAE684,-0.86
44,BFTC-909,TKI258,-0.83
45,BFTC-909,Erlotinib,-0.9
46,RT-112,AEW541,0.01
47,RT-112,Nilotinib,-0.9
48,RT-112,17-AAG,1.2
49,RT-112,PHA-665752,-0.9
50,RT-112,Lapatinib,-0.81
51,RT-112,Nutlin-3,-0.9
52,RT-112,AZD0530,-0.9
53,RT-112,PF2341066,-0.75
54,RT-112,L-685458,-0.9
55,RT-112,ZD-6474,-0.44
56,RT-112,Panobinostat,1.37
57,RT-112,Sorafenib,-0.68
58,RT-112,Irinotecan,0.64
59,RT-112,Topotecan,1.07
60,RT-112,LBW242,-0.9
61,RT-112,PD-0325901,0.33
62,RT-112,PD-0332991,-0.9
63,RT-112,Paclitaxel,2.42
64,RT-112,AZD6244,-0.6
65,RT-112,PLX4720,-0.9
66,RT-112,RAF265,-0.49
67,RT-112,TAE684,0.26
68,RT-112,TKI258,0.19
69,RT-112,Erlotinib,-0.9
70,SK-N-DZ,AEW541,-0.11
71,SK-N-DZ,17-AAG,0.2
72,SK-N-DZ,PHA-665752,-0.9
73,SK-N-DZ,Lapatinib,-0.9
74,SK-N-DZ,Nutlin-3,-0.9
75,SK-N-DZ,AZD0530,-0.9
76,SK-N-DZ,PF2341066,-0.46
77,SK-N-DZ,L-685458,-0.85
78,SK-N-DZ,ZD-6474,-0.78
79,SK-N-DZ,Panobinostat,1.89
80,SK-N-DZ,Sorafenib,-0.9
81,SK-N-DZ,Topotecan,0.88
82,SK-N-DZ,LBW242,-0.9
83,SK-N-DZ,PD-0325901,-0.9
84,SK-N-DZ,PD-0332991,-0.9
85,SK-N-DZ,Paclitaxel,2.22
86,SK-N-DZ,AZD6244,-0.9
87,SK-N-DZ,PLX4720,-0.9
88,SK-N-DZ,RAF265,-0.9
89,SK-N-DZ,TAE684,-0.32
90,SK-N-DZ,TKI258,-0.75
91,SK-N-DZ,Erlotinib,-0.9
92,SNU-182,AEW541,-0.9
93,SNU-182,Nilotinib,-0.9
94,SNU-182,17-AAG,-0.08
95,SNU-182,PHA-665752,-0.9
96,SNU-182,Lapatinib,-0.9
97,SNU-182,Nutlin-3,-0.9
98,SNU-182,AZD0530,-0.86
99,SNU-182,PF2341066,-0.9
100,SNU-182,L-685458,-0.9
101,SNU-182,ZD-6474,-0.9
102,SNU-182,Panobinostat,1.01
103,SNU-182,Sorafenib,-0.9
104,SNU-182,Topotecan,-0.72
105,SNU-182,LBW242,-0.9
106,SNU-182,PD-0325901,-0.9
107,SNU-182,PD-0332991,-0.9
108,SNU-182,Paclitaxel,1.32
109,SNU-182,AZD6244,-0.9
110,SNU-182,PLX4720,-0.9
111,SNU-182,RAF265,-0.9
112,SNU-182,TAE684,-0.9
113,SNU-182,TKI258,-0.9
114,SNU-182,Erlotinib,-0.9
115,GB-1,AEW541,-0.9
116,GB-1,Nilotinib,-0.9
117,GB-1,17-AAG,0.11
118,GB-1,PHA-665752,-0.9
119,GB-1,Lapatinib,-0.9
120,GB-1,Nutlin-3,-0.9
121,GB-1,AZD0530,-0.9
122,GB-1,PF2341066,-0.65
123,GB-1,L-685458,-0.9
124,GB-1,ZD-6474,-0.9
125,GB-1,Panobinostat,1.01
126,GB-1,Sorafenib,-0.83
127,GB-1,Irinotecan,1.1
128,GB-1,Topotecan,1.4
129,GB-1,LBW242,-0.9
130,GB-1,PD-0325901,-0.28
131,GB-1,PD-0332991,-0.9
132,GB-1,Paclitaxel,1.37
133,GB-1,AZD6244,-0.9
134,GB-1,PLX4720,-0.67
135,GB-1,RAF265,0.54
136,GB-1,TAE684,-0.31
137,GB-1,TKI258,-0.41
138,GB-1,Erlotinib,-0.9
139,KNS-62,AEW541,-0.9
140,KNS-62,17-AAG,0.24
141,KNS-62,PHA-665752,-0.9
142,KNS-62,Lapatinib,-0.9
143,KNS-62,Nutlin-3,-0.9
144,KNS-62,AZD0530,-0.9
145,KNS-62,PF2341066,-0.9
146,KNS-62,L-685458,-0.9
147,KNS-62,ZD-6474,-0.9
148,KNS-62,Panobinostat,1.1
149,KNS-62,Sorafenib,-0.9
150,KNS-62,Topotecan,-0.23
151,KNS-62,LBW242,-0.9
152,KNS-62,PD-0325901,-0.08
153,KNS-62,Paclitaxel,2.1
154,KNS-62,AZD6244,-0.9
155,KNS-62,PLX4720,-0.9
156,KNS-62,RAF265,-0.9
157,KNS-62,TAE684,-0.9
158,KNS-62,TKI258,-0.9
159,KNS-62,Erlotinib,-0.9
160,RPMI-8402,AEW541,-0.45
161,RPMI-8402,Nilotinib,-0.9
162,RPMI-8402,17-AAG,0.15
163,RPMI-8402,PHA-665752,-0.77
164,RPMI-8402,Lapatinib,-0.78
165,RPMI-8402,Nutlin-3,-0.9
166,RPMI-8402,AZD0530,-0.9
167,RPMI-8402,PF2341066,-0.72
168,RPMI-8402,L-685458,-0.9
169,RPMI-8402,ZD-6474,-0.71
170,RPMI-8402,Panobinostat,1.95
171,RPMI-8402,Sorafenib,-0.73
172,RPMI-8402,Irinotecan,1.53
173,RPMI-8402,Topotecan,1.53
174,RPMI-8402,LBW242,-0.9
175,RPMI-8402,PD-0325901,-0.9
176,RPMI-8402,PD-0332991,-0.15
177,RPMI-8402,Paclitaxel,2.39
178,RPMI-8402,AZD6244,-0.9
179,RPMI-8402,PLX4720,-0.9
180,RPMI-8402,RAF265,-0.52
181,RPMI-8402,TAE684,-0.01
182,RPMI-8402,TKI258,-0.47
183,RPMI-8402,Erlotinib,-0.9
