ID,cell_name,drug_name,IC50
0,UM-UC-3,Doxorubicin,1.03
1,UM-UC-3,Etoposide,-0.1
2,UM-UC-3,Gemcitabine,1.85
3,UM-UC-3,Mitomycin C,0.78
4,UM-UC-3,Vinorelbine,1.82
5,UM-UC-3,NSC-87877,-2.23
6,UM-UC-3,QS11,-1.14
7,UM-UC-3,CP466722,-0.69
8,UM-UC-3,Midostaurin,0.24
9,UM-UC-3,AP-24534,-0.72
10,UM-UC-3,JNK-9L,0.32
11,UM-UC-3,PF-562271,-1.07
12,UM-UC-3,HG-6-64-1,-0.67
13,UM-UC-3,DMOG,-2.34
14,UM-UC-3,FTI-277,-0.99
15,UM-UC-3,OSU-03012,-0.78
16,UM-UC-3,Shikonin,0.06
17,UM-UC-3,AKT inhibitor VIII,-1.11
18,UM-UC-3,Embelin,-1.05
19,UM-UC-3,FH535,-0.23
20,UM-UC-3,PAC-1,-1.4
21,UM-UC-3,IPA-3,-1.55
22,UM-UC-3,GSK-650394,-0.72
23,UM-UC-3,BAY 61-3606,-0.85
24,UM-UC-3,5-Fluorouracil,-1
25,UM-UC-3,Thapsigargin,2.3
26,UM-UC-3,Obatoclax Mesylate,0.58
27,UM-UC-3,BMS-754807,-0.59
28,UM-UC-3,OSI-906,-1.29
29,UM-UC-3,Bexarotene,-1.3
30,UM-UC-3,Bleomycin,-0.05
31,UM-UC-3,LFM-A13,-1.68
32,UM-UC-3,GW-2580,-2.09
33,UM-UC-3,Phenformin,-2.85
34,UM-UC-3,Bryostatin 1,1.63
35,UM-UC-3,Pazopanib,-1.27
36,UM-UC-3,LAQ824,0.86
37,UM-UC-3,Epothilone B,2.73
38,UM-UC-3,GSK-1904529A,-0.94
39,UM-UC-3,BMS-345541,-1.26
40,UM-UC-3,Tipifarnib,-0.97
41,UM-UC-3,Ruxolitinib,-1.47
42,UM-UC-3,AS601245,-0.83
43,UM-UC-3,SB-715992,1.55
44,UM-UC-3,AT-7519,-0.9
45,UM-UC-3,TAK-715,-1.68
46,UM-UC-3,BX-912,-1
47,UM-UC-3,ZSTK474,0.19
48,UM-UC-3,AS605240,-1.24
49,UM-UC-3,GSK1070916,-0.64
50,UM-UC-3,LY317615,-1.76
51,UM-UC-3,GSK429286A,-1.73
52,UM-UC-3,FMK,-2.07
53,UM-UC-3,CAL-101,-1.41
54,UM-UC-3,XL-184,-0.75
55,UM-UC-3,AC220,-0.84
56,UM-UC-3,CP724714,-1.36
57,UM-UC-3,STF-62247,-1.44
58,UM-UC-3,NG-25,-0.82
59,UM-UC-3,VX-11e,-0.53
60,UM-UC-3,FR-180204,-1.86
61,UM-UC-3,Tubastatin A,-1.6
62,UM-UC-3,YM155,2.28
63,UM-UC-3,NSC-207895,-1.23
64,UM-UC-3,AR-42,0.03
65,UM-UC-3,CUDC-101,0.17
66,UM-UC-3,I-BET 151,-2
67,UM-UC-3,CAY10603,-0.33
68,UM-UC-3,ABT-869,-0.94
69,UM-UC-3,BIX02189,-1.52
70,UM-UC-3,CH5424802,-1.6
71,UM-UC-3,EKB-569,-0.31
72,UM-UC-3,GSK2126458,2.28
73,UM-UC-3,Masitinib,-1.59
74,UM-UC-3,MP470,-1.55
75,UM-UC-3,NVP-BHG712,-0.72
76,UM-UC-3,OSI-930,-1.04
77,UM-UC-3,OSI-027,0.12
78,UM-UC-3,CX-5461,-0.29
79,UM-UC-3,PHA-793887,-0.65
80,UM-UC-3,PI-103,0.79
81,UM-UC-3,PIK-93,-0.6
82,UM-UC-3,TPCA-1,-1.06
83,UM-UC-3,TG101348,-1.1
84,UM-UC-3,XL-880,0.26
85,UM-UC-3,Y-39983,-1.56
86,UM-UC-3,YM201636,-0.29
87,UM-UC-3,AV-951,0
88,UM-UC-3,GSK690693,-1.48
89,UM-UC-3,SNX-2112,1.28
90,UM-UC-3,QL-X-138,-0.39
91,UM-UC-3,T0901317,-1.39
92,UM-UC-3,EX-527,-2.11
93,UM-UC-3,AICAR,-3.44
94,UM-UC-3,Camptothecin,2.2
95,UM-UC-3,Vinblastine,2.06
96,UM-UC-3,Cisplatin,-0.77
97,UM-UC-3,Cytarabine,0.11
98,UM-UC-3,Docetaxel,2.23
99,UM-UC-3,Methotrexate,-0.29
100,UM-UC-3,ATRA,-2.01
101,UM-UC-3,Gefitinib,-0.4
102,UM-UC-3,Vorinostat,-0.61
103,UM-UC-3,Nilotinib,-1.04
104,UM-UC-3,CI-1040,-0.88
105,UM-UC-3,Temsirolimus,1.62
106,UM-UC-3,Olaparib,-1.68
107,UM-UC-3,ABT-888,-1.72
108,UM-UC-3,Bosutinib,-0.22
109,UM-UC-3,Lenalidomide,-0.58
110,UM-UC-3,Axitinib,-0.67
111,UM-UC-3,AZD7762,0.04
112,UM-UC-3,GW 441756,-0.73
113,UM-UC-3,CEP-701,-0.18
114,UM-UC-3,SB 216763,-2
115,UM-UC-3,VX-702,-1.3
116,UM-UC-3,Elesclomol,1.52
117,UM-UC-3,Afatinib,-0.67
118,UM-UC-3,Vismodegib,-2.03
119,UM-UC-3,CCT007093,-1.47
120,UM-UC-3,EHT 1864,-1.22
121,UM-UC-3,PF-4708671,-1.43
122,UM-UC-3,JNJ-26854165,-0.83
123,UM-UC-3,TW 37,0.79
124,UM-UC-3,CCT018159,-0.79
125,UM-UC-3,AG-014699,-1.34
126,UM-UC-3,SB-505124,-1.5
127,UM-UC-3,Tamoxifen,-1.62
128,UM-UC-3,PFI-1,-1.21
129,UM-UC-3,IOX2,0.07
130,UM-UC-3,YK 4-279,-0.25
131,UM-UC-3,(5Z)-7-Oxozeaenol,-0.09
132,UM-UC-3,piperlongumine,-0.24
133,UM-UC-3,FK866,2.35
134,UM-UC-3,BMN-673,-0.41
135,UM-UC-3,UNC1215,-0.96
136,UM-UC-3,SGC0946,-0.67
137,UM-UC-3,XAV 939,-1.24
138,UM-UC-3,Trametinib,0.58
139,UM-UC-3,Dabrafenib,-1.42
140,UM-UC-3,Temozolomide,-2.37
141,UM-UC-3,SN-38,2.3
142,UM-UC-3,MLN4924,1
143,BFTC-909,Doxorubicin,0.98
