Compound,Primary Cell Line Name,ID,IC50 (uM)
17-AAG,UM-UC-3,206,0.53
17-AAG,BFTC-909,10859,0.98
17-AAG,RT-112,2187,1.2
17-AAG,SK-N-DZ,1186,0.2
17-AAG,SNU-182,6187,-0.08
17-AAG,GB-1,8348,0.11
17-AAG,KNS-62,2949,0.24
17-AAG,RPMI-8402,1627,0.15
17-AAG,NCI-H1694,5491,-0.53
17-AAG,NCI-H1048,2443,1.31
17-AAG,IA-LM,3600,-0.9
17-AAG,SU-DHL-6,5607,0.48
17-AAG,MOG-G-CCM,4512,0.57
17-AAG,HDQ-P1,6666,0.91
17-AAG,HCT-15,7561,0.23
17-AAG,BxPC-3,798,0.73
17-AAG,P12-ICHIKAWA,1832,0.23
17-AAG,JM1,8466,-0.05
17-AAG,HGC-27,10182,0.7
17-AAG,NCI-H1693,6550,-0.9
17-AAG,Raji,1209,-0.43
17-AAG,NCI-N87,2745,2.2
17-AAG,SJRH30,10599,0.13
17-AAG,NCI-H23,8443,1.33
17-AAG,MG-63,10694,0.09
17-AAG,COR-L23,3483,0.22
17-AAG,TE-15,10229,0.99
17-AAG,MCF7,1072,1.73
17-AAG,KMS-12-BM,9123,0.9
17-AAG,LP-1,7310,0.21
17-AAG,FU97,9564,1.2
17-AAG,AsPC-1,2812,1.14
17-AAG,NCI-H2122,10271,1.58
17-AAG,CHP-212,7264,1.53
17-AAG,AU565,6919,1.63
17-AAG,NCI-H211,9742,0.9
17-AAG,ESS-1,2399,0.93
17-AAG,JVM-3,1028,1.12
17-AAG,EFO-27,7153,0.44
17-AAG,KP-2,2330,1.42
17-AAG,OE33,6642,1.23
17-AAG,SK-LMS-1,2907,0.57
17-AAG,NCI-H1650,6164,1.51
17-AAG,NCI-H520,6942,1.0
17-AAG,IST-MES1,4299,0.15
17-AAG,MOLT-16,3226,0.35
17-AAG,SNU-423,1880,0.07
17-AAG,SK-MM-2,6598,0.93
17-AAG,NCI-H727,6068,0.46
17-AAG,SK-CO-1,3837,1.25
17-AAG,KLE,4184,0.03
17-AAG,VMRC-LCD,5281,0.68
17-AAG,TE-11,4793,0.76
17-AAG,NCI-H2172,8305,2.23
17-AAG,DOHH-2,5996,0.39
17-AAG,COLO-678,1511,1.39
17-AAG,NCI-H1869,3110,1.0
17-AAG,EM-2,11226,0.88
17-AAG,NCI-H2170,9236,1.82
17-AAG,JHOS-2,5304,0.84
17-AAG,HT-1197,1139,-0.29
17-AAG,769-P,775,0.82
17-AAG,NCI-H810,5631,-0.9
17-AAG,SU-DHL-10,5723,0.65
17-AAG,TYK-nu,10529,1.07
17-AAG,VMRC-RCZ,182,0.07
17-AAG,WM-115,11162,1.32
17-AAG,GCT,7721,0.48
17-AAG,ALL-SIL,10811,0.15
17-AAG,Calu-6,7701,0.74
17-AAG,TOV-112D,5445,0.42
17-AAG,PA-TU-8902,1717,0.18
17-AAG,C2BBe1,6302,0.11
17-AAG,NCI-H358,9655,1.12
17-AAG,NUGC-3,10067,1.21
17-AAG,8305C,8535,0.43
17-AAG,HCC1187,8512,-0.19
17-AAG,EFO-21,10414,0.54
17-AAG,KYSE-450,8165,0.15
17-AAG,SIMA,11048,-0.25
17-AAG,SK-MEL-31,1464,-0.9
17-AAG,MES-SA,5021,1.42
17-AAG,NCI-H1703,9169,1.41
17-AAG,UACC-812,6436,0.7
17-AAG,HPAC,3298,1.04
17-AAG,BT-474,5115,1.35
17-AAG,NCI-H1666,8372,1.77
17-AAG,OCI-AML5,6574,0.52
17-AAG,HH,7538,0.5
17-AAG,DK-MG,8818,0.49
17-AAG,GAMG,5678,0.96
17-AAG,SK-MEL-5,4095,0.68
17-AAG,KG-1,3976,1.33
17-AAG,PSN1,315,0.82
17-AAG,BL-41,6140,0.12
17-AAG,OCUM-1,3789,1.33
17-AAG,BT-549,910,1.69
17-AAG,HSC-2,6526,0.3
17-AAG,RERF-LC-MS,7863,0.79
17-AAG,C3A,7999,1.56
17-AAG,HCC-44,294,1.18
17-AAG,KYSE-140,842,0.02
17-AAG,BT-20,10835,-0.9
17-AAG,NCI-H1581,958,0.22
17-AAG,L-428,10319,-0.1
17-AAG,NCI-H1648,3063,-0.9
17-AAG,NCI-H2052,4048,0.62
17-AAG,MC116,11001,0.13
17-AAG,8-MG-BA,141,0.63
17-AAG,PC-3,451,0.41
17-AAG,G-361,4925,1.05
17-AAG,CAL-78,7446,1.0
17-AAG,G-401,9378,1.07
17-AAG,EB2,8396,-0.24
17-AAG,HCC1569,589,0.7
17-AAG,OPM-2,4071,0.18
17-AAG,NCI-H1341,660,1.86
17-AAG,NCI-H2087,3718,1.19
17-AAG,SNU-449,9284,-0.29
17-AAG,TE-5,6621,0.46
17-AAG,KMRC-1,10718,0.51
17-AAG,NCI-H1568,7401,-0.9
