Drug,Cell,Label,LN_IC50
Nilotinib,22RV1_PROSTATE,Resistance,2.079441542
Nilotinib,5637_URINARY_TRACT,Resistance,2.011611566
Nilotinib,639V_URINARY_TRACT,Resistance,2.079441542
Nilotinib,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,0.647330632
Nilotinib,769P_KIDNEY,Resistance,2.079441542
Nilotinib,786O_KIDNEY,Resistance,2.079441542
Nilotinib,8305C_THYROID,Resistance,1.729041553
Nilotinib,8505C_THYROID,Resistance,1.924617719
Nilotinib,A172_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,A204_SOFT_TISSUE,Sensitivity,0.078806018
Nilotinib,A2058_SKIN,Resistance,2.079441542
Nilotinib,A253_SALIVARY_GLAND,Resistance,2.079441542
Nilotinib,A2780_OVARY,Resistance,1.917612694
Nilotinib,A375_SKIN,Resistance,2.079441542
Nilotinib,A549_LUNG,Resistance,1.798220833
Nilotinib,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Sensitivity,-5.825238159
Nilotinib,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,0.800410943
Nilotinib,AN3CA_ENDOMETRIUM,Resistance,2.079441542
Nilotinib,ASPC1_PANCREAS,Resistance,2.079441542
Nilotinib,AU565_BREAST,Resistance,2.064225708
Nilotinib,AZ521_STOMACH,Resistance,2.079441542
Nilotinib,BCPAP_THYROID,Resistance,2.009030761
Nilotinib,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,BFTC909_KIDNEY,Resistance,2.079441542
Nilotinib,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,BT20_BREAST,Resistance,2.079441542
Nilotinib,BT474_BREAST,Resistance,1.930439803
Nilotinib,BT549_BREAST,Resistance,2.079441542
Nilotinib,C2BBE1_LARGE_INTESTINE,Resistance,1.920009179
Nilotinib,C32_SKIN,Resistance,2.079441542
Nilotinib,CAKI2_KIDNEY,Resistance,2.079441542
Nilotinib,CAL78_BONE,Resistance,2.079441542
Nilotinib,CAL851_BREAST,Resistance,2.079441542
Nilotinib,CALU1_LUNG,Resistance,2.079441542
Nilotinib,CALU3_LUNG,Resistance,2.079441542
Nilotinib,CAMA1_BREAST,Resistance,1.845627328
Nilotinib,CAPAN2_PANCREAS,Sensitivity,-2.76549735
Nilotinib,CAS1_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,CHL1_SKIN,Resistance,2.079441542
Nilotinib,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,COLO201_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,COLO205_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,COLO320_LARGE_INTESTINE,Resistance,1.607688489
Nilotinib,COLO678_LARGE_INTESTINE,Resistance,2.079441542
Nilotinib,COLO679_SKIN,Resistance,1.995773548
Nilotinib,CORL23_LUNG,Resistance,2.079441542
Nilotinib,COV318_OVARY,Resistance,2.039508543
Nilotinib,COV504_OVARY,Resistance,2.079441542
Nilotinib,DAOY_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,1.834889437
Nilotinib,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Resistance,2.079441542
Nilotinib,DKMG_CENTRAL_NERVOUS_SYSTEM,Resistance,2.079441542
Nilotinib,DMS114_LUNG,Resistance,1.801487399
Nilotinib,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,DU145_PROSTATE,Resistance,2.079441542
Nilotinib,EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
Nilotinib,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Resistance,2.079441542
